date,zone_id,name,impressions,clicks,revenue
2024-10-11 11:00:00-04:00,1097741,Pornhub PC - Underplayer,2560376,3559,65.504424000000000
2024-10-22 11:00:00-04:00,1845481,Pornhub PC - Preroll,1242910,49239,1178.434958999955926
2024-11-15 07:00:00-05:00,2402771,Pornhub Mobile - Search Native,10489266,53367,893.676109999967267
2024-11-15 08:00:00-05:00,2184351,Pornhub PC - Top Right Square,2491466,2131,241.749250999976419
2024-09-16 10:00:00-04:00,2250821,Pornhub PC - Preroll 3rd,2,0,0.001810000000000
2024-10-27 03:00:00-04:00,2190771,Pornhub PC - NTVB,4039319,1336,159.620867999987929
2024-11-01 02:00:00-04:00,1097741,Pornhub PC - Underplayer,1629989,2859,43.707449000000000
2024-11-19 16:00:00-05:00,2184351,Pornhub PC - Top Right Square,2783568,2050,286.902827999981004
2024-09-10 08:00:00-04:00,2190771,Pornhub PC - NTVB,4360507,1436,205.431050999947191
2024-10-04 13:00:00-04:00,5,Pornhub PC - Footer,6295772,912,76.934592999999991
2024-10-10 23:00:00-04:00,1993761,Pornhub Mobile - Preroll Embed,133232,8945,62.374443999997866
2024-10-29 23:00:00-04:00,30781,Pornhub PC - Inplayer,912889,3401,204.445735999955387
2024-11-26 17:00:00-05:00,985,Pornhub Mobile - Footer,55040883,13475,987.539421999916297
2024-11-23 05:00:00-05:00,2289171,Pornhub Mobile - Middle Banner,14562462,9198,589.321618999815202
2024-10-11 15:00:00-04:00,1845501,Pornhub Mobile - Preroll,6896104,393867,5265.324135999734262
2024-10-05 14:00:00-04:00,4038,Pornhub Mobile - Underplayer,16002381,6956,464.671432999784675
2024-09-20 13:00:00-04:00,29051,Pornhub Mobile - Interstitial,2864299,11167,281.156932999987108
2024-09-01 02:00:00-04:00,5,Pornhub PC - Footer,5348448,957,83.600679999999966
2024-11-20 05:00:00-05:00,2250831,Pornhub Mobile - Preroll 3rd,0,0,0E-15
2024-09-24 07:00:00-04:00,1970821,Pornhub PC - Popunder,71666,57033,143.775226999999565
2024-10-22 00:00:00-04:00,2289171,Pornhub Mobile - Middle Banner,15810734,8885,760.660414999823250
2024-11-10 13:00:00-05:00,4038,Pornhub Mobile - Underplayer,16968790,8098,427.235969999653508
2024-10-28 13:00:00-04:00,1650251,Pornhub Mobile - Popunder,3025976,2691028,9181.133163999948126
2024-11-03 16:00:00-05:00,1650251,Pornhub Mobile - Popunder,3783350,3175484,10541.145817999918174
2024-11-11 18:00:00-05:00,2184351,Pornhub PC - Top Right Square,2397349,2193,262.976416999971825
2024-10-05 09:00:00-04:00,985,Pornhub Mobile - Footer,46366677,13231,910.119683999962403
2024-09-27 19:00:00-04:00,2184351,Pornhub PC - Top Right Square,2158210,2456,243.436153999981841
2024-11-14 00:00:00-05:00,1650251,Pornhub Mobile - Popunder,2642920,2307172,9203.961817999966550
2024-10-26 00:00:00-04:00,2412751,Pornhub Mobile - Watch Native,20473483,76877,1014.009563999891725
2024-11-06 14:00:00-05:00,985,Pornhub Mobile - Footer,45942357,12098,812.377437999938221
